,hour,dayofweek,month,year,season,holiday,workingday,weather,temp,humidity,windspeed,count
3828,12,5,9,2011,3,0,0,1,29.52,62,15.0013,404
5525,8,3,1,2012,1,0,1,2,8.2,75,0.0,388
2598,4,3,6,2011,2,0,1,2,22.96,68,7.0015,6
1881,7,3,5,2011,2,0,1,1,15.58,58,16.9979,271
10814,0,0,12,2012,4,0,1,2,15.58,87,0.0,28
6003,9,0,2,2012,1,0,1,1,7.38,80,7.0015,277
10700,6,2,12,2012,4,0,1,2,10.66,60,16.9979,128
5097,11,1,12,2011,4,0,1,3,18.86,94,16.9979,32
6443,17,0,3,2012,1,0,1,3,12.3,45,19.9995,387
1851,1,2,5,2011,2,0,1,3,20.5,82,19.0012,7
3587,9,4,8,2011,3,0,1,1,28.7,65,8.9981,218
348,0,6,1,2011,1,0,0,1,10.66,56,0.0,39
6613,20,0,3,2012,1,0,1,2,22.96,49,15.0013,286
7337,2,5,5,2012,2,0,0,1,23.78,88,0.0,75
2817,7,2,7,2011,3,0,1,2,29.52,79,0.0,312
172,11,5,1,2011,1,0,0,2,8.2,69,26.0027,62
4651,21,6,11,2011,4,0,0,1,14.76,81,6.0032,88
1563,0,0,4,2011,2,0,1,1,19.68,88,22.0028,23
3981,22,4,9,2011,3,0,1,1,19.68,67,6.0032,167
6904,0,4,4,2012,2,0,1,1,16.4,43,0.0,61
5110,0,2,12,2011,4,0,1,1,18.04,100,12.998,33
10815,1,0,12,2012,4,0,1,2,15.58,87,7.0015,15
1386,15,6,4,2011,2,0,0,2,18.86,33,0.0,292
553,5,6,2,2011,1,0,0,1,10.66,60,15.0013,1
9917,14,2,10,2012,4,0,1,2,22.96,43,11.0014,270
5899,0,3,2,2012,1,0,1,1,18.86,59,8.9981,31
3722,0,1,9,2011,3,0,1,3,22.14,94,23.9994,8
10134,15,2,11,2012,4,0,1,2,13.12,53,19.9995,198
3254,12,4,8,2011,3,0,1,1,31.16,52,16.9979,216
2964,10,1,7,2011,3,0,1,1,33.62,52,11.0014,123
3477,19,6,8,2011,3,0,0,1,29.52,74,15.0013,259
7714,19,4,6,2012,2,0,1,3,25.42,88,23.9994,45
7547,20,6,5,2012,2,0,0,2,27.06,50,19.0012,230
2687,21,6,6,2011,2,0,0,1,27.88,79,8.9981,167
8024,17,3,6,2012,2,0,1,1,29.52,48,15.0013,867
6878,22,2,4,2012,2,0,1,1,22.96,22,11.0014,181
10340,6,4,11,2012,4,0,1,2,12.3,61,6.0032,130
39,16,6,1,2011,1,0,0,3,13.94,71,11.0014,76
2562,16,1,6,2011,2,0,1,1,27.88,41,12.998,330
9159,0,2,9,2012,3,0,1,1,29.52,74,16.9979,37
1372,1,6,4,2011,2,0,0,1,12.3,61,7.0015,34
4638,8,6,11,2011,4,0,0,2,11.48,87,6.0032,90
9072,9,5,9,2012,3,0,0,2,31.16,58,12.998,237
159,22,4,1,2011,1,0,1,2,7.38,43,11.0014,36
6466,16,1,3,2012,1,0,1,1,14.76,32,19.0012,250
8707,4,6,8,2012,3,0,0,1,29.52,74,16.9979,14
5048,10,6,12,2011,4,0,0,1,13.12,81,8.9981,216
3808,16,4,9,2011,3,0,1,1,30.34,66,8.9981,285
9388,13,4,9,2012,3,0,1,2,28.7,54,12.998,408
3459,1,6,8,2011,3,0,0,3,26.24,89,15.0013,73
989,16,5,3,2011,1,0,0,2,19.68,59,19.9995,204
1382,11,6,4,2011,2,0,0,1,17.22,41,16.9979,243
760,1,1,2,2011,1,0,1,1,12.3,42,51.9987,5
2083,17,4,5,2011,2,0,1,3,21.32,88,11.0014,491
8635,4,3,8,2012,3,0,1,1,27.06,83,0.0,9
9271,16,6,9,2012,3,0,0,1,27.88,36,19.0012,701
1402,7,0,4,2011,2,0,1,2,18.04,54,16.9979,157
6854,22,1,4,2012,2,0,1,1,20.5,51,0.0,158
10687,17,1,12,2012,4,0,1,1,13.12,53,15.0013,601
9118,7,0,9,2012,3,1,0,1,27.88,85,0.0,43
9430,7,6,9,2012,3,0,0,1,20.5,77,7.0015,71
3596,18,4,8,2011,3,0,1,1,31.16,58,35.0008,425
7257,18,1,5,2012,2,0,1,1,28.7,54,8.9981,743
1119,7,4,3,2011,1,0,1,1,10.66,70,12.998,114
916,15,2,3,2011,1,0,1,1,22.14,19,27.9993,110
904,3,2,3,2011,1,0,1,1,9.02,69,19.0012,4
839,10,4,2,2011,1,0,1,2,18.04,72,15.0013,95
400,16,1,1,2011,1,0,1,2,9.02,87,12.998,61
3871,8,0,9,2011,3,0,1,1,24.6,78,6.0032,408
145,8,4,1,2011,1,0,1,1,8.2,51,16.9979,210
1363,16,5,4,2011,2,0,0,1,15.58,62,22.0028,196
8148,21,1,6,2012,2,0,1,1,31.16,62,11.0014,276
5914,15,3,2,2012,1,0,1,1,18.86,67,11.0014,174
10524,22,1,12,2012,4,0,1,2,20.5,63,19.9995,181
9594,3,3,10,2012,4,0,1,2,25.42,88,0.0,11
5068,6,0,12,2011,4,0,1,1,12.3,93,6.0032,90
7030,7,2,4,2012,2,0,1,1,11.48,52,8.9981,321
8310,15,5,7,2012,3,0,0,1,39.36,26,0.0,306
2605,11,3,6,2011,2,0,1,2,27.88,61,19.9995,150
4468,5,1,10,2011,4,0,1,2,18.86,88,0.0,21
4138,11,1,10,2011,4,0,1,1,22.14,64,19.0012,124
4821,23,6,11,2011,4,0,0,1,18.86,51,19.9995,67
7806,15,1,6,2012,2,0,1,2,23.78,46,8.9981,272
9878,23,0,10,2012,4,0,1,1,18.86,63,15.0013,81
9065,2,5,9,2012,3,0,0,1,28.7,70,11.0014,69
6373,19,4,3,2012,1,0,1,3,14.76,87,12.998,174
3129,7,1,7,2011,3,0,1,2,30.34,70,11.0014,315
3855,15,6,9,2011,3,0,0,1,30.34,51,19.9995,404
9914,11,2,10,2012,4,0,1,2,20.5,51,6.0032,234
9173,14,2,9,2012,3,0,1,1,33.62,56,7.0015,211
8679,0,5,8,2012,3,0,0,1,30.34,79,11.0014,161
1856,6,2,5,2011,2,0,1,3,13.94,93,26.0027,21
3643,17,4,9,2011,3,0,1,2,27.88,65,11.0014,455
2311,5,5,6,2011,2,0,0,1,20.5,64,0.0,8
8492,5,6,7,2012,3,0,0,1,27.88,89,8.9981,9
1377,6,6,4,2011,2,0,0,1,11.48,65,12.998,33
5117,7,2,12,2011,4,0,1,3,18.04,100,7.0015,46
4239,16,5,10,2011,4,0,0,1,26.24,44,6.0032,451
3644,18,4,9,2011,3,0,1,2,27.88,65,12.998,355
709,21,5,2,2011,1,0,0,1,10.66,41,0.0,51
9387,12,4,9,2012,3,0,1,2,28.7,54,12.998,409
8420,5,3,7,2012,3,0,1,1,25.42,73,7.0015,44
9360,9,3,9,2012,3,0,1,1,24.6,64,6.0032,338
2069,3,4,5,2011,2,0,1,2,20.5,88,8.9981,4
9590,23,2,10,2012,4,0,1,2,27.06,78,0.0,220
7937,2,0,6,2012,2,0,1,1,27.06,74,7.0015,17
181,20,5,1,2011,1,0,0,1,4.92,36,16.9979,28
7559,8,0,5,2012,2,0,1,3,22.14,88,15.0013,156
1,1,5,1,2011,1,0,0,1,9.02,80,0.0,40
4380,13,4,10,2011,4,0,1,1,22.96,73,23.9994,132
6990,14,0,4,2012,2,0,1,1,22.96,28,36.9974,218
10402,20,6,11,2012,4,0,0,1,14.76,66,11.0014,129
834,5,4,2,2011,1,0,1,2,18.86,67,7.0015,7
872,19,5,2,2011,1,0,0,1,13.94,29,23.9994,59
8265,18,3,7,2012,3,0,1,2,36.9,39,22.0028,607
8961,18,2,8,2012,3,0,1,1,30.34,51,15.0013,848
4720,18,2,11,2011,4,0,1,1,18.04,67,7.0015,408
6063,21,2,2,2012,1,0,1,3,9.84,87,12.998,129
7144,1,0,4,2012,2,1,0,1,25.42,61,23.9994,28
8249,2,3,7,2012,3,0,1,1,30.34,51,0.0,18
7529,2,6,5,2012,2,0,0,2,22.14,68,11.0014,82
7913,2,6,6,2012,2,0,0,1,26.24,69,8.9981,73
9957,6,4,10,2012,4,0,1,3,22.14,94,11.0014,131
5617,4,0,1,2012,1,0,1,1,9.02,64,7.0015,4
6234,0,3,2,2012,1,0,1,2,12.3,70,8.9981,23
7851,12,3,6,2012,2,0,1,1,28.7,42,0.0,336
7600,1,2,5,2012,2,0,1,2,23.78,88,8.9981,21
4699,21,1,11,2011,4,0,1,1,16.4,76,0.0,182
35,12,6,1,2011,1,0,0,2,14.76,66,19.9995,93
211,2,0,1,2011,1,0,1,1,4.92,50,15.0013,3
665,23,3,2,2011,1,0,1,1,4.92,42,7.0015,34
7655,8,4,5,2012,2,0,1,1,21.32,59,8.9981,745
8684,5,5,8,2012,3,0,0,1,28.7,84,15.0013,17
2463,13,4,6,2011,2,0,1,1,34.44,44,7.0015,189
3028,2,4,7,2011,3,0,1,1,24.6,78,11.0014,38
10292,6,2,11,2012,4,0,1,1,9.84,65,12.998,146
7607,8,2,5,2012,2,0,1,1,23.78,83,0.0,650
6356,2,4,3,2012,1,0,1,1,13.94,53,19.0012,6
2179,17,1,5,2011,2,0,1,1,25.42,65,27.9993,604
5401,3,0,12,2011,4,0,1,1,6.56,86,6.0032,3
3412,2,4,8,2011,3,0,1,1,25.42,57,12.998,15
7678,7,5,5,2012,2,0,0,1,18.86,67,7.0015,95
5006,16,4,12,2011,4,0,1,1,17.22,41,6.0032,276
6741,4,6,3,2012,1,0,0,2,17.22,94,11.0014,14
201,16,6,1,2011,1,0,0,1,8.2,34,30.0026,92
900,23,1,3,2011,1,0,1,1,9.84,65,15.0013,25
6623,6,1,3,2012,1,0,1,3,18.86,82,12.998,113
6417,15,6,3,2012,1,0,0,1,14.76,32,35.0008,334
6520,22,3,3,2012,1,0,1,1,22.96,49,22.0028,153
9483,12,1,9,2012,3,0,1,3,27.88,83,30.0026,88
5746,14,5,1,2012,1,0,0,1,9.84,41,19.9995,231
10839,1,1,12,2012,4,0,1,2,18.04,94,8.9981,15
10607,9,5,12,2012,4,0,0,2,15.58,94,0.0,170
3832,16,5,9,2011,3,0,0,1,30.34,55,12.998,431
9570,3,2,10,2012,4,0,1,2,24.6,94,0.0,7
4228,5,5,10,2011,4,0,0,1,17.22,88,7.0015,8
5464,19,0,1,2012,1,1,0,1,9.84,38,15.0013,93
8487,0,6,7,2012,3,0,0,1,27.88,89,11.0014,187
9450,3,0,9,2012,3,0,1,1,20.5,77,6.0032,7
2273,15,3,6,2011,2,0,1,1,32.8,21,26.0027,188
490,13,3,2,2011,1,0,1,1,8.2,40,27.9993,51
10826,12,0,12,2012,4,0,1,2,16.4,87,0.0,232
4929,11,4,11,2011,4,0,1,1,12.3,36,8.9981,140
7413,6,1,5,2012,2,0,1,1,20.5,77,19.9995,165
2252,18,2,6,2011,2,0,1,3,33.62,56,26.0027,309
3297,7,6,8,2011,3,0,0,1,28.7,84,12.998,39
523,23,4,2,2011,1,0,1,2,9.84,70,8.9981,31
4599,17,4,11,2011,4,0,1,1,17.22,38,23.9994,480
934,9,3,3,2011,1,0,1,1,6.56,37,19.0012,145
4080,1,6,10,2011,4,0,0,3,13.94,87,16.9979,24
4136,9,1,10,2011,4,0,1,1,18.86,67,16.9979,187
6233,23,2,2,2012,1,0,1,1,13.94,53,6.0032,58
6482,8,2,3,2012,1,0,1,1,11.48,61,19.9995,566
757,22,0,2,2011,1,0,1,1,13.94,46,43.9989,45
544,20,5,2,2011,1,0,0,1,12.3,87,16.9979,69
7371,12,6,5,2012,2,0,0,2,24.6,64,6.0032,558
8801,2,3,8,2012,3,0,1,1,28.7,84,6.0032,14
5015,1,5,12,2011,4,0,0,1,10.66,65,12.998,71
6742,5,6,3,2012,1,0,0,2,16.4,94,7.0015,6
9983,8,3,11,2012,4,0,1,2,14.76,56,7.0015,680
9932,5,3,10,2012,4,0,1,1,18.04,82,15.0013,42
8037,6,4,6,2012,2,0,1,1,22.14,83,8.9981,151
1701,19,5,4,2011,2,0,0,2,21.32,94,27.9993,71
10290,4,2,11,2012,4,0,1,1,9.02,69,12.998,6
1014,18,6,3,2011,1,0,0,3,13.12,100,23.9994,23
10825,11,0,12,2012,4,0,1,2,16.4,87,6.0032,170
9448,1,0,9,2012,3,0,1,1,21.32,72,6.0032,21
3910,23,1,9,2011,3,0,1,1,26.24,78,7.0015,74
5859,8,3,1,2012,1,0,1,1,4.92,54,7.0015,423
10335,1,4,11,2012,4,0,1,2,12.3,65,6.0032,21
5322,20,3,12,2011,4,0,1,1,21.32,59,22.0028,221
10300,14,2,11,2012,4,0,1,1,14.76,43,8.9981,181
3178,8,1,8,2011,3,0,1,1,30.34,58,19.0012,435
2451,1,4,6,2011,2,0,1,3,28.7,65,15.0013,23
7205,14,2,4,2012,2,0,1,3,18.04,72,7.0015,51
1740,10,0,4,2011,2,0,1,2,21.32,55,7.0015,109
5361,11,5,12,2011,4,0,0,2,11.48,45,22.0028,209
6431,5,0,3,2012,1,0,1,1,8.2,55,6.0032,18
8473,10,5,7,2012,3,0,0,2,29.52,70,6.0032,401
9501,6,2,9,2012,3,0,1,1,21.32,63,16.9979,172
5123,13,2,12,2011,4,0,1,3,18.04,100,12.998,33
6609,16,0,3,2012,1,0,1,1,25.42,35,30.0026,332
7967,8,1,6,2012,2,0,1,2,25.42,88,15.0013,613
5586,21,5,1,2012,1,0,0,1,18.04,44,15.0013,140
66,21,0,1,2011,1,0,1,1,7.38,64,8.9981,52
3470,12,6,8,2011,3,0,0,2,28.7,79,15.0013,281
2549,3,1,6,2011,2,0,1,1,23.78,53,22.0028,2
5391,17,6,12,2011,4,0,0,1,11.48,46,11.0014,136
4704,2,2,11,2011,4,0,1,1,13.12,93,0.0,5
3455,21,5,8,2011,3,0,0,2,27.88,83,26.0027,167
5384,10,6,12,2011,4,0,0,1,9.84,60,16.9979,129
5776,20,6,1,2012,1,0,0,1,6.56,37,7.0015,95
190,5,6,1,2011,1,0,0,1,3.28,53,12.998,1
6944,16,5,4,2012,2,0,0,1,22.14,19,26.0027,615
646,4,3,2,2011,1,0,1,2,5.74,59,15.0013,1
891,14,1,3,2011,1,0,1,1,13.12,36,8.9981,79
1488,21,3,4,2011,2,0,1,2,18.04,67,19.0012,108
7313,2,4,5,2012,2,0,1,1,23.78,83,8.9981,11
3607,5,3,9,2011,3,0,1,1,22.96,73,6.0032,23
9228,21,4,9,2012,3,0,1,1,28.7,74,11.0014,301
3116,18,0,7,2011,3,0,1,1,33.62,49,23.9994,558
2360,6,0,6,2011,2,0,1,1,23.78,88,0.0,112
5547,6,4,1,2012,1,0,1,2,9.02,73,7.0015,70
10782,16,5,12,2012,4,0,0,1,16.4,50,8.9981,413
4084,5,6,10,2011,4,0,0,1,13.12,87,19.0012,7
7939,4,0,6,2012,2,0,1,1,26.24,78,8.9981,7
7187,20,1,4,2012,2,0,1,1,24.6,23,19.0012,402
5629,16,0,1,2012,1,0,1,3,9.02,87,6.0032,49
4836,14,0,11,2011,4,0,1,1,25.42,46,30.0026,185
5316,14,3,12,2011,4,0,1,2,21.32,52,22.0028,132
3681,7,6,9,2011,3,0,0,1,27.06,78,12.998,30
8331,12,6,7,2012,3,0,0,1,37.72,42,12.998,376
9259,4,6,9,2012,3,0,0,1,21.32,77,16.9979,28
6929,1,5,4,2012,2,0,0,1,16.4,28,16.9979,69
10543,17,2,12,2012,4,0,1,1,18.04,35,19.0012,605
8480,17,5,7,2012,3,0,0,3,28.7,79,11.0014,458
5830,3,2,1,2012,1,0,1,2,18.04,51,32.9975,4
9386,11,4,9,2012,3,0,1,2,27.88,61,7.0015,280
9868,13,0,10,2012,4,0,1,2,22.96,88,15.0013,146
1848,22,1,5,2011,2,0,1,2,23.78,60,26.0027,113
10409,3,0,11,2012,4,0,1,2,14.76,66,15.0013,2
1390,19,6,4,2011,2,0,0,2,17.22,44,12.998,144
10404,22,6,11,2012,4,0,0,2,14.76,66,16.9979,74
5672,12,2,1,2012,1,0,1,3,12.3,81,0.0,55
9196,13,3,9,2012,3,0,1,2,29.52,79,7.0015,191
8920,1,1,8,2012,3,0,1,1,27.88,79,16.9979,27
1410,15,0,4,2011,2,0,1,1,31.16,23,36.9974,143
7922,11,6,6,2012,2,0,0,1,31.16,45,6.0032,499
5356,6,5,12,2011,4,0,0,2,10.66,56,19.0012,17
4586,4,4,11,2011,4,0,1,2,15.58,87,6.0032,7
3752,7,2,9,2011,3,0,1,3,24.6,88,6.0032,86
2358,4,0,6,2011,2,0,1,1,22.96,94,7.0015,8
3818,2,5,9,2011,3,0,0,2,24.6,97,7.0015,64
6112,22,4,2,2012,1,0,1,2,13.12,66,0.0,113
6155,17,6,2,2012,1,0,0,1,7.38,37,27.9993,87
2641,23,4,6,2011,2,0,1,1,25.42,83,8.9981,178
9593,2,3,10,2012,4,0,1,1,26.24,89,0.0,13
1561,22,6,4,2011,2,0,0,1,18.04,94,16.9979,57
6283,1,5,2,2012,1,0,0,1,13.12,49,11.0014,45
10337,3,4,11,2012,4,0,1,2,12.3,65,8.9981,6
5293,15,2,12,2011,4,0,1,2,15.58,54,7.0015,167
7332,21,4,5,2012,2,0,1,1,26.24,69,12.998,235
6912,8,4,4,2012,2,0,1,1,12.3,49,22.0028,508
7356,21,5,5,2012,2,0,0,2,23.78,78,15.0013,269
4289,18,0,10,2011,4,1,0,2,26.24,53,0.0,473
6588,19,6,3,2012,1,0,0,1,20.5,31,19.0012,258
6204,18,1,2,2012,1,0,1,2,15.58,46,19.9995,406
3221,3,3,8,2011,3,0,1,3,27.06,94,6.0032,3
3935,0,3,9,2011,3,0,1,1,26.24,69,8.9981,37
10610,12,5,12,2012,4,0,0,2,16.4,87,15.0013,486
6784,23,0,3,2012,1,0,1,2,22.96,78,8.9981,54
7323,12,4,5,2012,2,0,1,3,25.42,78,23.9994,171
5023,9,5,12,2011,4,0,0,1,10.66,70,7.0015,124
3033,7,4,7,2011,3,0,1,1,26.24,65,7.0015,274
894,17,1,3,2011,1,0,1,1,13.94,34,6.0032,242
10222,8,6,11,2012,4,0,0,1,13.12,87,7.0015,119
3523,17,1,8,2011,3,0,1,1,31.16,45,22.0028,600
7753,10,6,6,2012,2,0,0,1,25.42,43,15.0013,404
8682,3,5,8,2012,3,0,0,1,29.52,84,8.9981,30
1581,19,0,4,2011,2,0,1,1,29.52,51,30.0026,284
7455,0,3,5,2012,2,0,1,3,20.5,77,11.0014,33
10136,17,2,11,2012,4,0,1,2,13.12,53,26.0027,517
3778,10,3,9,2011,3,0,1,2,26.24,94,7.0015,65
3784,16,3,9,2011,3,0,1,3,26.24,94,19.0012,156
6819,11,0,4,2012,2,0,1,1,17.22,47,30.0026,209
4662,8,0,11,2011,4,0,1,2,12.3,100,6.0032,410
4735,9,3,11,2011,4,0,1,2,17.22,94,7.0015,211
809,4,3,2,2011,1,0,1,1,13.12,57,12.998,4
8292,21,4,7,2012,3,0,1,1,33.62,52,8.9981,300
881,4,1,3,2011,1,0,1,1,9.02,69,16.9979,1
3237,19,3,8,2011,3,0,1,1,28.7,74,19.0012,366
4252,5,6,10,2011,4,0,0,1,18.04,88,0.0,15
8632,1,3,8,2012,3,0,1,1,27.88,79,7.0015,42
2920,14,6,7,2011,3,0,0,1,33.62,41,22.0028,349
1256,4,3,3,2011,1,0,1,1,13.94,71,12.998,3
221,12,0,1,2011,1,0,1,2,8.2,40,19.0012,52
8668,13,4,8,2012,3,0,1,2,35.26,47,19.0012,345
956,7,4,3,2011,1,0,1,1,6.56,80,8.9981,83
9026,11,5,8,2012,3,0,0,1,29.52,51,0.0,536
7718,23,4,6,2012,2,0,1,3,24.6,88,8.9981,73
669,5,4,2,2011,1,0,1,1,3.28,63,6.0032,4
2880,22,4,7,2011,3,0,1,2,27.06,78,12.998,169
8380,13,1,7,2012,3,0,1,1,33.62,38,12.998,280
2925,19,6,7,2011,3,0,0,1,32.8,49,22.0028,303
4706,4,2,11,2011,4,0,1,1,13.12,87,0.0,4
7491,12,4,5,2012,2,0,1,1,22.96,28,27.9993,348
10427,21,0,11,2012,4,0,1,2,15.58,54,15.0013,203
9529,10,0,10,2012,4,0,1,1,22.14,56,0.0,179
4368,1,4,10,2011,4,0,1,1,23.78,94,8.9981,24
1297,22,4,3,2011,1,0,1,1,25.42,50,11.0014,118
8033,2,4,6,2012,2,0,1,1,22.96,83,7.0015,15
4808,10,6,11,2011,4,0,0,1,18.04,44,22.0028,241
9670,7,6,10,2012,4,0,0,3,17.22,58,11.0014,35
5769,13,6,1,2012,1,0,0,1,8.2,34,19.0012,224
3239,21,3,8,2011,3,0,1,2,28.7,74,12.998,211
4946,4,5,11,2011,4,0,0,1,10.66,48,22.0028,8
1209,4,1,3,2011,1,0,1,1,9.84,75,6.0032,2
5892,17,2,2,2012,1,0,1,1,23.78,43,12.998,539
5775,19,6,1,2012,1,0,0,1,6.56,37,11.0014,110
3852,12,6,9,2011,3,0,0,1,28.7,65,0.0,411
9816,9,5,10,2012,4,0,0,1,14.76,50,6.0032,266
3994,11,5,9,2011,3,0,0,2,21.32,68,15.0013,367
2051,9,3,5,2011,2,0,1,2,20.5,77,19.0012,212
8957,14,2,8,2012,3,0,1,2,31.16,52,19.9995,255
10178,12,4,11,2012,4,0,1,1,18.04,41,22.0028,262
451,21,1,2,2011,1,0,1,2,9.02,87,8.9981,64
2092,2,5,5,2011,2,0,0,2,20.5,88,8.9981,52
1487,20,3,4,2011,2,0,1,1,18.04,62,11.0014,203
5703,19,3,1,2012,1,0,1,2,17.22,71,11.0014,330
417,10,2,1,2011,1,0,1,2,10.66,93,8.9981,47
3563,9,3,8,2011,3,0,1,1,29.52,66,16.9979,228
1111,22,3,3,2011,1,0,1,2,13.94,0,8.9981,34
3665,15,5,9,2011,3,0,0,1,29.52,70,11.0014,388
8023,16,3,6,2012,2,0,1,1,29.52,51,19.0012,438
5093,7,1,12,2011,4,0,1,2,18.86,94,12.998,234
1341,18,4,4,2011,2,0,1,1,13.94,46,22.0028,241
6616,23,0,3,2012,1,0,1,1,22.96,56,15.0013,63
6144,6,6,2,2012,1,0,0,1,4.1,49,26.0027,2
8302,7,5,7,2012,3,0,0,1,31.98,66,7.0015,71
7562,11,0,5,2012,2,0,1,2,22.96,83,15.0013,79
6810,1,0,4,2012,2,0,1,3,17.22,88,6.0032,5
3110,12,0,7,2011,3,0,1,1,32.8,59,12.998,165
859,6,5,2,2011,1,0,0,1,16.4,17,27.9993,6
3698,0,0,9,2011,3,1,0,2,28.7,74,15.0013,97
1328,5,4,4,2011,2,0,1,3,9.84,93,15.0013,12
703,15,5,2,2011,1,0,0,1,13.94,29,27.9993,174
2280,22,3,6,2011,2,0,1,1,26.24,33,16.9979,155
3692,18,6,9,2011,3,0,0,1,31.16,66,12.998,356
3983,0,5,9,2011,3,0,0,1,18.86,72,11.0014,108
6345,15,3,3,2012,1,0,1,1,24.6,31,16.9979,223
10301,15,2,11,2012,4,0,1,1,14.76,43,19.0012,260
4726,0,3,11,2011,4,0,1,1,16.4,87,0.0,24
3086,12,6,7,2011,3,0,0,1,31.16,55,19.0012,420
8746,19,0,8,2012,3,0,1,1,31.98,59,12.998,640
4958,16,5,11,2011,4,0,0,1,17.22,38,19.9995,287
5223,17,6,12,2011,4,0,0,1,11.48,30,0.0,163
5712,4,4,1,2012,1,0,1,3,13.12,70,32.9975,3
5668,8,2,1,2012,1,0,1,1,8.2,82,7.0015,499
3647,21,4,9,2011,3,0,1,2,26.24,73,6.0032,149
55,10,0,1,2011,1,0,1,1,7.38,43,16.9979,44
7710,15,4,6,2012,2,0,1,3,29.52,66,19.0012,258
10349,15,4,11,2012,4,0,1,1,17.22,38,8.9981,267
741,6,0,2,2011,1,0,1,1,13.94,46,19.9995,26
10583,9,4,12,2012,4,0,1,2,12.3,81,8.9981,301
8398,7,2,7,2012,3,0,1,2,27.06,83,7.0015,497
3369,7,2,8,2011,3,0,1,1,28.7,58,6.0032,305
2622,4,4,6,2011,2,0,1,1,22.14,94,8.9981,6
1977,7,0,5,2011,2,0,1,1,19.68,63,16.9979,237
5035,21,5,12,2011,4,0,0,2,12.3,61,6.0032,109
10171,5,4,11,2012,4,0,1,1,12.3,56,12.998,27
9616,1,4,10,2012,4,0,1,1,22.14,68,7.0015,46
1668,10,4,4,2011,2,1,0,1,20.5,55,12.998,122
1197,15,0,3,2011,1,0,1,1,15.58,37,11.0014,101
7656,9,4,5,2012,2,0,1,1,22.96,56,7.0015,361
587,15,0,2,2011,1,0,1,2,15.58,54,6.0032,50
10567,17,3,12,2012,4,0,1,1,12.3,45,7.0015,617
10248,10,0,11,2012,4,1,0,1,19.68,77,11.0014,266
8064,9,5,6,2012,2,0,0,1,24.6,60,6.0032,367
5542,1,4,1,2012,1,0,1,1,9.02,75,0.0,8
1786,8,6,5,2011,2,0,0,2,18.04,77,8.9981,59
6020,2,1,2,2012,1,0,1,1,12.3,61,0.0,4
2093,3,5,5,2011,2,0,0,2,20.5,88,8.9981,35
1086,19,2,3,2011,1,0,1,2,13.94,76,22.0028,134
4406,15,5,10,2011,4,0,0,1,25.42,31,32.9975,377
5836,9,2,1,2012,1,0,1,1,11.48,52,22.0028,202
6839,7,1,4,2012,2,0,1,1,13.12,66,6.0032,341
6663,22,2,3,2012,1,0,1,1,21.32,55,8.9981,202
2429,3,3,6,2011,2,0,1,2,29.52,84,7.0015,2
5842,15,2,1,2012,1,0,1,1,12.3,33,35.0008,130
2301,19,4,6,2011,2,0,1,1,27.88,26,19.0012,391
568,20,6,2,2011,1,0,0,1,11.48,61,7.0015,26
425,18,2,1,2011,1,0,1,1,13.94,61,19.0012,161
1472,5,3,4,2011,2,0,1,1,13.94,76,15.0013,6
8955,12,2,8,2012,3,0,1,1,30.34,55,15.0013,307
10865,3,2,12,2012,4,0,1,1,10.66,75,8.9981,5
10204,14,5,11,2012,4,0,0,1,22.14,37,0.0,627
5026,12,5,12,2011,4,0,0,1,14.76,50,0.0,358
5405,7,0,12,2011,4,0,1,1,7.38,74,7.0015,191
9896,17,1,10,2012,4,0,1,1,21.32,39,12.998,943
1666,8,4,4,2011,2,1,0,1,18.04,62,19.9995,300
10761,19,4,12,2012,4,0,1,1,13.94,53,6.0032,319
5311,9,3,12,2011,4,0,1,2,14.76,62,19.0012,280
2545,23,0,6,2011,2,0,1,1,25.42,46,12.998,89
5337,11,4,12,2011,4,0,1,2,13.94,42,19.9995,144
6976,0,0,4,2012,2,0,1,1,19.68,39,19.0012,37
9998,23,3,11,2012,4,0,1,1,13.94,57,11.0014,120
10259,21,0,11,2012,4,1,0,3,22.14,73,15.0013,155
5100,14,1,12,2011,4,0,1,3,19.68,100,15.0013,75
905,4,2,3,2011,1,0,1,1,8.2,75,8.9981,1
1887,13,3,5,2011,2,0,1,1,22.14,30,39.0007,192
1156,20,5,3,2011,1,0,0,1,16.4,58,7.0015,86
304,3,4,1,2011,1,0,1,1,4.1,54,7.0015,1
1296,21,4,3,2011,1,0,1,1,25.42,46,7.0015,113
5624,11,0,1,2012,1,0,1,2,10.66,56,6.0032,88
3800,8,4,9,2011,3,0,1,3,25.42,94,11.0014,288
2635,17,4,6,2011,2,0,1,3,31.16,40,12.998,552
2010,16,1,5,2011,2,0,1,1,27.06,31,7.0015,327
4113,10,0,10,2011,4,0,1,2,16.4,66,7.0015,101
9254,23,5,9,2012,3,0,0,2,23.78,73,11.0014,133
5849,22,2,1,2012,1,0,1,1,7.38,47,16.9979,78
9418,19,5,9,2012,3,0,0,1,25.42,41,11.0014,478
4058,3,5,10,2011,4,0,0,1,18.86,59,27.9993,25
6582,13,6,3,2012,1,0,0,1,17.22,41,19.9995,464
661,19,3,2,2011,1,0,1,1,5.74,28,7.0015,112
7771,4,0,6,2012,2,0,1,1,22.14,64,6.0032,8
5937,14,4,2,2012,1,0,1,1,14.76,46,15.0013,170
